Country,Covid2020,Covid2021,Covid2022,Covid2023,Total
Afghanistan,296447,1778958,2810220,535810,5421435
Albania,88375,871276,1281171,244558,2485380
Algeria,377806,1563862,2491699,467908,4901275
Andorra,15492,44641,55837,11220,127190
Angola,36818,368673,695036,131307,1231834
Antigua and Barbuda,864,18632,50867,9928,80291
Argentina,3802826,31681182,46687472,8865665,91037145
Armenia,248551,1738064,3125933,592845,5705393
Australia,132944,427797,3768160,1261931,5590832
Austria,438345,4607998,7209848,1476277,13732468
Azerbaijan,161918,1890518,3517720,685506,6255662
Bahamas,17608,128764,293337,56644,496353
Bahrain,47269,371236,543385,104985,1066875
Bangladesh,968739,6492171,10634624,2002107,20097641
Barbados,1837,28140,165235,38874,234086
Belarus,172608,1192890,2504565,484024,4354087
Belgium,2931202,8947146,11545723,2282835,25706906
Belize,11440,137666,244235,46784,440125
Benin,7552,40811,59466,11084,118913
Bhutan,0,670,6116,1428,8214
Bolivia,1235173,5671149,7968882,1519545,16394749
Bosnia and Herzegovina,250835,3261988,5728277,1105476,10346576
Botswana,3190,488116,989448,190461,1671215
Brazil,27108921,169575139,244098007,47398933,488181000
Brunei,697,9529,72746,15300,98272
Bulgaria,347789,6554630,13393629,2596062,22892110
Burkina Faso,15425,64865,139098,26918,246306
Burma,148452,3375837,7090262,1325320,11939871
Burundi,276,6901,13870,2584,23631
Cabo Verde,12418,94435,147218,28059,282130
Cambodia,0,424061,1112809,207808,1744678
Cameroon,88766,432600,704078,133620,1359064
Canada,2402461,9270925,15146580,3442443,30262409
Central African Republic,11732,32247,40995,7684,92658
Chad,19635,59632,70104,13192,162563
Chile,2404918,11113710,20333170,4339557,38191355
China,1435120,1838078,4800504,5472960,13546662
Colombia,4585410,35427974,50990606,9667647,100671637
Comoros,1443,49980,58510,10948,120881
Congo (Brazzaville),16479,68937,139828,26340,251584
Congo (Kinshasa),58666,330756,501208,99494,990124
Costa Rica,174561,1720737,3106853,622910,5625061
Cote d'Ivoire,23811,143866,294074,56663,518414
Croatia,156885,2852144,5840555,1214381,10063965
Cuba,26652,1230857,3104772,580040,4942321
Cyprus,7726,145737,381750,87595,622808
Czechia,600899,10127999,14651207,2877982,28258087
Denmark,176879,918681,2276735,555604,3927899
Diamond Princess,3815,4745,4745,884,14189
Djibouti,12519,49570,68985,12852,143926
Dominica,0,3493,23891,5032,32416
Dominican Republic,380121,1331819,1594617,298112,3604669
Ecuador,2063529,8959876,12972582,2445809,26441796
Egypt,1137521,5525740,8898861,1686819,17248941
El Salvador,153112,946540,1510123,287640,2897415
Equatorial Guinea,15300,45497,66621,12444,139862
Eritrea,12,10066,37074,7004,54156
Estonia,20833,425939,922893,197851,1567516
Eswatini,17607,312619,512926,96739,939891
Ethiopia,200308,1582711,2737604,514896,5035519
Fiji,281,94968,311229,60036,466514
Finland,91124,375136,1721798,587658,2775716
France,9284524,38470807,54424558,11230468,113410357
Gabon,11246,59056,110990,20808,202100
Gambia,16217,84175,133620,25296,259308
Georgia,88726,2355373,6019823,1151420,9615342
Germany,2890473,30892587,51001378,11274362,96058800
Ghana,53074,315598,526353,99404,994429
Greece,208444,4398618,10926524,2364972,17898558
Grenada,0,19735,82789,16184,118708
Guatemala,587281,3701568,6731592,1367356,12387797
Guinea,12892,83209,161973,31741,289815
Guinea-Bissau,7413,32737,62139,11968,114257
Guyana,16383,190548,453063,88042,748036
Haiti,40688,167474,305236,58480,571878
Honduras,412628,2598055,3971370,754900,7736953
Hungary,452473,9635417,16796644,3309161,30193695
Iceland,3674,11314,55174,15216,85378
India,17171598,121382644,190276333,36090662,364921237
Indonesia,2148683,30620691,56630819,10935507,100335700
Iran,6222225,33112629,51455527,9844678,100635059
Iraq,1623028,6615129,9179263,1725497,19142917
Ireland,460986,1758645,2683786,579279,5482696
Israel,339051,2418498,3971180,829289,7558018
Italy,10582442,43595671,61048721,12709950,127936784
Jamaica,23679,452353,1125025,236949,1838006
Japan,364142,4811610,12607662,4588384,22371798
Jordan,172825,3233166,5088860,960296,9455147
Kazakhstan,342310,3598679,6916484,1296435,12153908
Kenya,158497,1320390,2061334,386784,3927005
Kiribati,0,0,4121,1169,5290
"Korea, North",0,0,1392,408,1800
"Korea, South",104652,829654,8012634,2273950,11220890
Kosovo,118677,838125,1148402,217921,2323125
Kuwait,132226,686533,930791,174760,1924310
Kyrgyzstan,204465,754553,1084569,203388,2246975
Laos,0,13810,258126,51544,323480
Latvia,22288,907184,2087087,423365,3439924
Lebanon,93678,2550399,3789504,733905,7167486
Lesotho,6015,144317,255454,49130,454916
Liberia,16107,61434,107009,20001,204551
Libya,111938,1301431,2319625,437716,4170710
Liechtenstein,1272,21062,30391,6033,58758
Lithuania,59297,1632972,3278851,649116,5620236
Luxembourg,43539,283934,393683,82123,803279
MS Zaandam,550,730,730,136,2146
Madagascar,36344,269475,501723,96543,904085
Malawi,29150,557423,964023,182632,1733228
Malaysia,49640,4290118,12865504,2511456,19716718
Maldives,6298,59641,109488,21148,196575
Mali,31265,178577,266915,50524,527281
Malta,11597,147046,262564,56047,477254
Marshall Islands,0,0,2307,1156,3463
Mauritania,34924,213778,357973,67796,674471
Mauritius,2713,40732,356617,70926,470988
Mexico,15017707,85243244,118231220,22593018,241085189
Micronesia,0,0,6514,4009,10523
Moldova,295184,2234593,4200685,813103,7543565
Monaco,833,10863,21078,4483,37257
Mongolia,14,252329,769424,145248,1167015
Montenegro,45312,580968,991561,190240,1808081
Morocco,539218,3980187,5860040,1108112,11487557
Mozambique,12401,442257,804217,152023,1410898
Namibia,17821,711197,1471680,277873,2478571
Nauru,0,0,183,68,251
Nepal,128945,2715794,4359550,817354,8021643
Netherlands,1819728,6403822,8355053,1611786,18190389
New Zealand,6304,10980,433689,168184,619157
Nicaragua,28007,69663,86513,16660,200843
Niger,17306,71846,112669,21416,223237
Nigeria,212680,827562,1147339,214540,2402121
North Macedonia,194153,1939359,3374462,655562,6163536
Norway,72511,289478,1168977,344518,1875484
Oman,174416,1074435,1621900,314704,3185455
Pakistan,1380284,7759449,11065586,2083545,22288864
Palau,0,0,2036,612,2648
Panama,451068,2376286,3018129,584383,6429866
Papua New Guinea,966,71657,237312,45530,355465
Paraguay,169871,3904744,6898779,1346737,12320131
Peru,15276634,62714056,77869141,14890018,170749849
Philippines,1048249,9811505,22026506,4476017,37362277
Poland,1422334,24394356,41909868,8074936,75801494
Portugal,615356,6070273,8516181,1768092,16969902
Qatar,41312,179203,245999,46638,513152
Romania,1248293,12271936,23820994,4595284,41936507
Russia,4952659,56152636,133547624,26330671,220983590
Rwanda,5360,258925,531859,99822,895966
Saint Kitts and Nevis,0,2727,15657,3138,21522
Saint Lucia,160,43587,137558,27812,209117
Saint Vincent and the Grenadines,0,8665,39875,8316,56856
Samoa,0,0,7170,1972,9142
San Marino,12017,31332,42007,8280,93636
Sao Tome and Principe,3410,14116,26910,5236,49672
Saudi Arabia,869637,2813031,3358566,651160,7692394
Senegal,55512,484530,715996,133941,1389979
Serbia,206832,2636494,5863899,1203904,9911129
Seychelles,0,23584,60090,11696,95370
Sierra Leone,15538,36424,45751,8568,106281
Singapore,6795,59551,507938,116939,691223
Slovakia,66667,4060746,7210908,1424171,12762492
Slovenia,118309,1585305,2403884,479634,4587132
Solomon Islands,0,0,46834,10404,57238
Somalia,23425,286410,495335,92548,897718
South Africa,2968151,24393223,36693758,6975912,71031044
South Sudan,10492,40998,50280,9384,111154
Spain,8720097,28644917,39150740,8058447,84574201
Sri Lanka,9248,2108672,6000671,1144176,9262767
Sudan,189498,931931,1719159,340328,3180916
Suriname,15480,205290,491950,95172,807892
Sweden,1438568,5103122,6942503,1574953,15059146
Switzerland,694613,3883259,4991749,966656,10536277
Syria,43439,663243,1140879,215140,2062701
Taiwan*,1939,166958,2373820,1131058,3673775
Tajikistan,16024,38942,45625,8500,109091
Tanzania,5282,74202,300488,57518,437490
Thailand,15565,2687780,10654316,2300892,15658553
Timor-Leste,0,16971,48339,9384,74694
Togo,8764,56718,101298,19720,186500
Tonga,0,0,3267,873,4140
Trinidad and Tobago,13090,339736,1433525,293862,2080213
Tunisia,225290,5980789,10399324,1993001,18598404
Turkey,2063533,18166329,35677396,6901456,62808714
US,46811911,223468753,368125532,75471019,713877215
Uganda,16752,614221,1312672,246840,2190485
Ukraine,1240038,19421018,41967357,8092188,70720601
United Arab Emirates,99619,623527,843882,159684,1726712
United Kingdom,15831662,56610145,73447892,14946978,160836677
Uruguay,12265,1470792,2637291,517023,4637371
Uzbekistan,75614,332793,592902,111316,1112625
Vanuatu,0,255,3732,952,4939
Venezuela,106495,1141073,2085017,397462,3730047
Vietnam,4908,2936699,15332101,2936648,21210356
West Bank and Gaza,74921,1251129,2040515,388144,3754709
Yemen,108944,480906,778784,146812,1515446
Zambia,53042,849928,1453709,275043,2631722
Zimbabwe,36683,1029500,2010155,384379,3460717
